Serial_number,App_Size,App_Price,Installs,User_Rating,Content_Rating,Category,currency,Type
318,48819200,4.99,9,5,12+,Education,USD,
319,30977024,0.99,107,2.5,4+,Entertainment,USD,
320,8073209,1.99,72,2,4+,Lifestyle,USD,
321,15676416,2.99,2044,3.5,9+,Games,USD,
323,48700821,0.99,1455,3,12+,Games,USD,
324,581353472,4.99,15056,4,17+,Games,USD,
325,9906176,0.99,249,4.5,4+,Photo & Video,USD,
326,114843648,7.99,6091,4,9+,Games,USD,
327,199450624,7.99,2754,4,9+,Games,USD,
328,529755136,4.99,9870,4.5,12+,Games,USD,
329,70516736,0,82602,4,9+,Music,USD,
331,90241024,1.99,762,4,4+,Education,USD,
332,174268416,1.99,160,4,4+,Education,USD,
334,151864320,0,260965,4,12+,Social Networking,USD,
335,4466688,1.99,2305,4,4+,Photo & Video,USD,
336,35478528,4.99,137,4,4+,Travel,USD,
337,31869952,0,11999,4,4+,Entertainment,USD,
338,21771264,1.99,1995,4.5,12+,Photo & Video,USD,
339,103049216,2.99,35045,4.5,4+,Music,USD,
340,40586240,0.99,343,4,4+,Entertainment,USD,
341,220397568,1.99,1824,4,4+,Entertainment,USD,
342,69057536,0,39642,4,4+,Sports,USD,
343,101943296,0,679055,4.5,4+,Games,USD,
344,122235904,9.99,17594,4,4+,Productivity,USD,
345,151954432,1.99,3531,4,4+,Games,USD,
346,138047488,3.99,1080,3.5,4+,Education,USD,
347,105982976,0,11421,4,4+,Finance,USD,
348,104590336,1.99,698516,4.5,4+,Games,USD,
349,32051200,3.99,4497,4,12+,Entertainment,USD,
350,225859584,0.99,163598,5,9+,Games,USD,
351,229992448,9.99,39678,3.5,4+,Games,USD,
352,32604160,8.99,1809,4.5,4+,Productivity,USD,
353,22948864,4.99,624,3.5,4+,Navigation,USD,
354,35422208,2.99,3761,4.5,4+,Photo & Video,USD,
355,32083968,3.99,353,4,12+,Weather,USD,
356,150221824,4.99,6503,4.5,4+,Education,USD,
357,30270464,0.99,71,3,4+,Games,USD,
358,125016064,0,308844,3.5,4+,Entertainment,USD,
359,35717120,9.99,3909,4.5,4+,Music,USD,
360,31955968,2.99,308,4.5,12+,Utilities,USD,
361,44099584,9.99,11156,4.5,4+,Productivity,USD,
362,34310144,4.99,8542,4.5,4+,Photo & Video,USD,
363,35602607,4.99,5853,3.5,17+,Games,USD,
364,234123264,1.99,1506,4,9+,Games,USD,
365,133874688,0,1649,3.5,4+,Social Networking,USD,
366,85724160,0,78890,3,12+,Entertainment,USD,
367,219693056,3.99,2147,4,9+,Games,USD,
368,176164864,0,89110,4.5,4+,Games,USD,
369,59101184,0,208648,4,4+,Weather,USD,
370,10907191,1.99,856,2.5,12+,Entertainment,USD,
371,4177920,3.99,7825,4.5,4+,Productivity,USD,
372,62978048,9.99,7033,4,4+,Business,USD,
373,66138112,1.99,4255,4,4+,Reference,USD,
374,68073472,5.99,3230,4.5,4+,Utilities,USD,
375,165748736,0,54175,4.5,4+,Reference,USD,
376,33857536,4.99,308,4,4+,Education,USD,
377,22763520,0.99,2602,3,9+,Games,USD,
378,107259904,0,29110,4.5,17+,Productivity,USD,
379,73224192,1.99,273,3.5,4+,Reference,USD,
380,45182976,0,15654,4.5,4+,Photo & Video,USD,
381,16292864,0,189,2.5,12+,Entertainment,USD,
382,24851456,0.99,829,4.5,4+,Navigation,USD,
383,58463232,8.99,663,5,4+,Photo & Video,USD,
384,71002112,0,359832,4.5,4+,Games,USD,
385,112609280,0,9011,3.5,4+,Entertainment,USD,
386,149536768,4.99,17667,4.5,4+,Health & Fitness,USD,
387,39844864,0,65450,4,4+,Book,USD,
388,105609216,0,31261,4.5,4+,Travel,USD,
389,14160896,0.99,9885,4,4+,Games,USD,
390,112515072,0,11091,3,4+,Entertainment,USD,
391,64705536,0,132703,4,4+,News,USD,
392,37161984,4.99,286,2.5,4+,Travel,USD,
393,54776832,0,12683,4,12+,Utilities,USD,
394,283852800,0,49466,3,4+,Travel,USD,
395,101923840,0,168,4,4+,Productivity,USD,
396,40479744,6.99,114,4,17+,Book,USD,
397,10612736,2.99,2798,4.5,4+,Weather,USD,
398,94592000,0,62,3.5,4+,Entertainment,USD,
399,33213440,9.99,1756,4,4+,Business,USD,
400,37140480,3.99,511,4.5,4+,Health & Fitness,USD,
401,144180224,0.99,2609,3.5,17+,Games,USD,
402,7689537,0,354,1.5,4+,Social Networking,USD,
404,25137152,1.99,1121,4.5,9+,Games,USD,
406,34950144,0,34322,4.5,4+,Finance,USD,
407,19054592,1.99,162,4.5,4+,Productivity,USD,
408,83575808,0,8,3,4+,Utilities,USD,
409,14602240,2.99,4386,4.5,4+,Education,USD,
410,61595648,4.99,5397,5,4+,Games,USD,
411,134848512,0,75412,4.5,17+,Social Networking,USD,
412,133956608,0,97072,4,17+,Social Networking,USD,
413,17613824,0,9142,3.5,12+,Health & Fitness,USD,
414,35975168,1.99,1957,4.5,4+,Games,USD,
415,127020032,4.99,2944,4,17+,Entertainment,USD,
416,27962368,1.99,588,4,4+,Photo & Video,USD,
417,14824448,1.99,40552,4.5,4+,Games,USD,
418,83899392,0.99,1267,4.5,4+,Finance,USD,
419,19371008,24.99,753,4,4+,Education,USD,
420,59475968,2.99,725,4,4+,Weather,USD,
421,80203776,3.99,45,4.5,12+,Education,USD,
422,227403527,0.99,14910,4,12+,Games,USD,
423,75254654,2.99,3064,3.5,9+,Games,USD,
424,23879680,0,12074,2.5,17+,News,USD,
425,4893696,4.99,336,4,4+,Productivity,USD,
426,109620224,9.99,6257,4,4+,Productivity,USD,
427,18752512,1.99,2445,4.5,4+,Photo & Video,USD,
428,52117504,0.99,22150,4,9+,Games,USD,
429,31358976,0,23530,4,17+,Social Networking,USD,
430,359192576,9.99,10846,4.5,4+,Games,USD,
431,70782976,0,55171,3.5,4+,Shopping,USD,
432,84056064,0,5782,3.5,12+,Education,USD,
434,137866240,0,17,3.5,4+,Finance,USD,
435,121715712,1.99,35759,4.5,12+,Games,USD,
436,304654336,2.99,18306,4,12+,Games,USD,
437,51179520,0,13567,2,4+,Education,USD,
438,60380160,1.99,240,3,4+,Sports,USD,
439,99568640,0,56170,2,12+,Entertainment,USD,
442,7954432,1.99,10463,4.5,4+,Photo & Video,USD,
443,7876608,0,1255,4.5,12+,Lifestyle,USD,
444,99558400,0.99,5803,4,4+,Games,USD,
445,16857290,1.99,227,4,9+,Games,USD,
446,111196160,9.99,342,3.5,4+,Navigation,USD,
447,36705280,2.99,7578,4.5,4+,Photo & Video,USD,
448,79312792,6.99,1156,3.5,4+,Games,USD,
449,127939584,0,7197,3.5,4+,Education,USD,
450,44349440,2.99,5,3,4+,Entertainment,USD,
451,1178477568,0.99,3432,3,4+,Games,USD,
